Job Title,Company,Location,Estimated Salary
"Senior Java Software Engineer, Operations",Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Sr. Program Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $98,341 - $124,521 a year"
Sr. Revenue Operations Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $64,088 - $81,150 a year"
"Program Manager, Finance",opentext,"— Waterloo, ON","Estimated: $97,430 - $123,368 a year"
Collections Specialist (Escalations),Open Text Corporation,"— Waterloo, ON","Estimated: $53,614 - $67,888 a year"
Principal Solutions Architect,opentext,"— Waterloo, ON","Estimated: $96,155 - $121,754 a year"
"Manager, Accounts Payable",opentext,"— Waterloo, ON","Estimated: $77,163 - $97,706 a year"
"Sr. Manager, FP&A",opentext,"— Waterloo, ON","Estimated: $86,429 - $109,439 a year"
Principal IT Software Engineer,Open Text Corporation,"— Waterloo, ON","Estimated: $90,589 - $114,706 a year"
Sr. Revenue Operations Analyst - Salesforce.com,opentext,"— Waterloo, ON","Estimated: $50,202 - $63,567 a year"
Lead Systems Analyst - HR systems,Open Text Corporation,"— Waterloo, ON","Estimated: $85,416 - $108,155 a year"
Lead Financial Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $74,256 - $94,024 a year"
"Director, Billing Operations",opentext,"— Waterloo, ON","Estimated: $86,218 - $109,171 a year"
"Sr. Manager, FP&A",Open Text Corporation,"— Waterloo, ON","Estimated: $86,429 - $109,439 a year"
Principal Security Compliance Analyst - Compliance Strategy,opentext,"— Waterloo, ON","Estimated: $76,340 - $96,664 a year"
Technical Accounting Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $84,555 - $107,065 a year"
"Manager, Revenue Operations",Open Text Corporation,"— Waterloo, ON","Estimated: $76,157 - $96,432 a year"
Lead Accountant (Contractor),opentext,"— Waterloo, ON","Estimated: $72,508 - $91,811 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $91,469 - $115,821 a year"
Informatica Cloud Developer - REMOTE,Sky Systems Inc,— Ontario,$100 - $125 an hour
Senior Programmer (Recreation) - Temporary Full-Time,St. Joseph's Health Centre Guelph,"— Guelph, ON","Estimated: $48,746 - $61,723 a year"
Digital Marketing Manager-Vendor Programs,Open Text Corporation,"— Waterloo, ON","Estimated: $83,776 - $106,079 a year"
"Manager, Corporate Accounting",opentext,"— Waterloo, ON","Estimated: $79,552 - $100,731 a year"
"VP, Enterprise Architecture",Open Text Corporation,"— Waterloo, ON","Estimated: $81,059 - $102,639 a year"
"Manager, Financial Controllership",Open Text Corporation,"— Waterloo, ON","Estimated: $91,168 - $115,440 a year"
"Lead HRSS Specialist, Payroll",opentext,"— Waterloo, ON","Estimated: $77,684 - $98,366 a year"
Digital Marketing Manager-ABM,opentext,"— Waterloo, ON","Estimated: $77,817 - $98,534 a year"
Sr. Revenue Operations Analyst - Salesforce.com,Open Text Corporation,"— Waterloo, ON","Estimated: $50,202 - $63,567 a year"
Sr. Program Manager (Contracts),Open Text Corporation,"— Waterloo, ON","Estimated: $69,487 - $87,986 a year"
Lead Site Reliability Engineer,opentext,"— Waterloo, ON","Estimated: $99,945 - $126,552 a year"
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"— Waterloo, ON",$30 - $36 an hour
Lead DevOps Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
"Program Manager, Finance",Open Text Corporation,"— Waterloo, ON","Estimated: $97,430 - $123,368 a year"
"Director, Billing Operations",Open Text Corporation,"— Waterloo, ON","Estimated: $86,218 - $109,171 a year"
"Lead HRSS Specialist, Payroll",Open Text Corporation,"— Waterloo, ON","Estimated: $77,684 - $98,366 a year"
Principal Solutions Architect,Open Text Corporation,"— Waterloo, ON","Estimated: $96,155 - $121,754 a year"
Lead Accountant (Contractor),Open Text Corporation,"— Waterloo, ON","Estimated: $72,508 - $91,811 a year"
"Manager, Presales Prisma Cloud Solutions Architect - Enterprise",Palo Alto Networks,"— Waterloo, ON",N/A
